,Year,warstds,eu_nama_aux_pem_POP,gle_rgdpc,ross_oil_netexpc,p_polity,al_ethnic,al_religion,imf_gdpgr,une_gerst
204,2013,0,9624.922825,9401.977005,1305.539192,-2.367344596,-0.166968712,0.418255536,4.822751354,58.4019908
205,2014,0,9628.084715,9405.8973,1308.65195,-2.376025968,-0.175523899,0.419802129,4.826518544,58.34875855
206,2001,0,2140.52,2359.29,0,10,0.4174,0.0766164,6.138,65.01518
207,2002,0,2210.29,2397.3899,0,10,0.4174,0.0766164,5.283,68.32011
208,2003,0,2311.0601,2455.05,0,10,0.4174,0.0766164,7.502,69.16867
209,2004,0,2615.22,2702.0601,0,10,0.4174,0.0766164,4.927,68.64746
210,2005,0,2709.95,2709.95,0,10,0.4174,0.0766164,5.81,72.17479
211,2006,0,2782.6799,2695.5901,0,10,0.4174,0.0766164,9.118,84.38474
212,2007,0,3129.26,2945.8201,0,10,0.4174,0.0766164,9.218,83.91385
213,2008,0,3497.6101,3221.1699,0,10,0.4174,0.0766164,6.651,86.05825
214,2009,0,3379.1399,3085.1499,0,10,0.4174,0.0766164,-1.27,85.27307
215,2010,0,3765.3799,3392.45,0,10,0.4174,0.0766164,1.467,87.76021
216,2011,0,3972.6101,3504.45,1293.619701,10,0.4174,0.0766164,3.969,90.40873
217,2012,0,9586.290794,9363.482035,1297.22452,10,0.4174,0.0766164,4.819182948,92.73878
218,2013,0,9624.764305,9403.117118,1307.723778,-2.304740379,-0.159792344,0.418892064,4.821555904,58.30978239
219,2014,0,9658.891429,9434.643717,1309.437078,-2.19444471,-0.176791862,0.417939184,4.828589725,58.4978711
220,2001,0,936.54999,1032.27,0,0,0,0.0137451,3.329,57.6270116
221,2002,0,963.40997,1044.96,0,4,0,0.0137451,4.15,37.88572
222,2003,0,934.94,993.19,0,4,0,0.0137451,2.474,42.8314
223,2004,0,918.53003,949.03003,0,6,0,0.0137451,-0.239,48.04706
224,2005,0,975.64001,975.64001,0,6,0,0.0137451,4.23,57.50941022
