,country,year,warstds,atwards,anoc,ager,autonomy,avgnabo,dem,dlang,drace,drel,durable,ef,gdpgrowth,illiteracy,infant,inst,inst3,life,lmtnest,milper,nat_war,ncontig,nwstate,oil,plural,plurrel,pol4,pol4sq,popdense,relfrac,seceduc,second,sxpnew,sxpsq,tnatwar,trade,warhist,xconst,lpopns,ln_gdpen,numlang,proxregc,partfree,decade1,regd4_alt,etdo4590,geo1,presi,parreg,geo34
5591,Solomon Islands,1969,0,0,0,9,0,0.116234303,0,50,0,10,8,0.883256972,0.061049499,68.32939689,170,0,0,42.96099854,0,1,0,0,0,0,0.219999999,70,-7,49,35.5580101,0.460000008,5,0.200000003,0.297993128,0.160177673,0,71.10517883,0.132961389,1,14.47510052,-0.578034401,19,1.53E-05,0,1,-7,0,0,0,4,0
5592,Solomon Islands,1970,0,0,0,10,0,0,0,50,0,10,9,0.883256972,-0.011155,82.65035174,170,0,0,42.96099854,0,1,0,0,0,0,0.219999999,70,-7,49,37.13917923,0.460000008,5,0.200000003,0.148120806,0.021939773,0,78.23419189,-0.460441288,1,14.51860809,-0.481266856,19,3.81E-06,0,0,-7,0,0,0,4,0
5593,Solomon Islands,1971,0,0,0,11,0,0.214920104,0,50,0,10,10,0.883256972,-0.031925999,73.80000305,133.8000031,0,0,44.46099854,0,1,0,0,0,0,0.219999999,70,-7,49,38.05847168,0.460000008,7,0.200000003,0.203881696,0.041567747,0,88.42308044,-0.189190298,1,14.54305935,-0.574475586,19,9.54E-07,0,0,-7,0,0,0,4,0
5594,Solomon Islands,1972,0,0,0,12,0,0.214920104,0,50,0,10,11,0.883256972,0.042385899,72.40000153,133.8000031,0,0,44.46099854,0,1,0,0,0,0,0.219999999,70,-7,49,38.99613953,0.460000008,7,0.200000003,0.162608504,0.026441526,0,86.69962311,0,1,14.56739807,-0.517514586,19,2.38E-07,0,0,-7,0,0,0,4,0
5595,Solomon Islands,1973,0,0,0,13,0,0,0,50,0,10,12,0.883256972,0.010442,71.5,133.8000031,0,0,44.46099854,0,1,0,0,0,0,0.219999999,70,-7,49,39.95220184,0.460000008,7,0.200000003,0.140571997,0.019760486,0,77.76004791,0,1,14.59161949,-0.50916034,19,5.96E-08,0,0,-7,0,0,0,4,0
5596,Solomon Islands,1974,0,0,0,14,0,0,0,50,0,10,13,0.883256972,0.028850401,70.90000153,133.8000031,0,0,44.46099854,0,1,0,0,0,0,0.219999999,70,-7,49,40.94503021,0.460000008,7,0.200000003,0.140322402,0.019690376,0,66.11148071,0,1,14.61616611,-0.476424217,19,1.49E-08,0,0,-7,0,0,0,4,0
5597,Solomon Islands,1975,0,0,0,15,0,0,0,50,0,10,14,0.883256972,0.0176998,70,133.8000031,0,0,44.46099854,0,1,0,0,0,0,0.219999999,70,-7,49,42.01139832,0.460000008,7,0.200000003,0.326171011,0.106387526,0,94.89547729,0,1,14.64187622,-0.481266856,19,3.73E-09,0,0,-7,0,0,0,4,0
5598,Solomon Islands,1976,0,0,0,16,0,0,0,50,0,10,15,0.883256972,-0.039404999,69.30000305,129,0,0,48.00979996,0,2,0,0,0,0,0.219999999,70,-7,49,43.10572052,0.460000008,19,0.200000003,0.190413699,0.036257375,0,97.10204315,0,1,14.66759109,-0.430782944,19,9.31E-10,0,0,-7,0,0,0,4,0
5599,Solomon Islands,1977,0,0,0,17,0,0,0,50,0,10,16,0.883256972,0.0496975,68.5,129,0,0,48.00979996,0,2,0,0,0,0,0.219999999,70,-7,49,44.25960922,0.460000008,19,0.200000003,0.156205997,0.024400314,0,93.83175659,0,1,14.69400787,-0.390084028,19,2.33E-10,0,0,-7,0,0,0,4,0
5600,Solomon Islands,1978,0,0,0,18,0,0,0,50,0,10,17,0.883256972,0.088891998,67.69999695,129,0,0,48.00979996,0,3,0,0,0,0,0.219999999,70,-7,49,45.47306061,0.460000008,19,0.200000003,0.193759099,0.037542589,0,93.93193817,0,1,14.72105598,-0.350976914,19,5.82E-11,0,0,-7,0,0,0,4,0
5601,Solomon Islands,1979,0,0,0,19,0,0.334513396,0,50,0,10,18,0.883256972,-0.072762899,66.59999847,129,0,0,48.00979996,0,3,0,0,0,0,0.219999999,70,-7,49,46.74608994,0.460000008,19,0.200000003,0.270723492,0.073291212,0,140.860199,0,1,14.74866581,-0.387134135,19,1.46E-11,0,0,-7,0,0,0,4,0
5602,Solomon Islands,1980,0,0,0,20,0,0.433311105,0,50,0,10,19,0.883256972,0.115931399,65.69999695,129,0,0,48.00979996,0,3,0,0,0,0,0.219999999,70,-7,49,48.07868958,0.460000008,19,0.200000003,0.221981093,0.049275607,0,126.2371979,0,1,14.77677441,-0.313341796,19,3.64E-12,0,0,-7,0,0,0,4,0
5603,Solomon Islands,1981,0,0,0,21,0,0.2103021,0,50,0,10,20,0.883256972,-0.061326999,64.5,109.8000031,0,0,50.20729828,0,4,0,0,0,0,0.219999999,70,-7,49,49.47085953,0.460000008,33.09999847,0.200000003,0.263469994,0.069416441,0,107.4135971,0,1,14.80531979,-0.381260365,19,9.09E-13,0,0,-7,0,0,0,4,0
5604,Solomon Islands,1982,0,0,0,22,0,0,0,50,0,10,21,0.883256972,-0.066286698,63.5,109.8000031,0,0,50.20729828,0,4,0,0,0,0,0.219999999,70,-7,49,50.92259979,0.460000008,33.09999847,0.200000003,0.181624398,0.032987423,0,99.19693756,0,1,14.83424282,-0.424647957,19,2.27E-13,0,0,-7,0,0,0,4,0
5605,Solomon Islands,1983,0,0,0,23,0,0,0,50,0,10,22,0.883256972,-0.085824303,62.5,109.8000031,0,0,50.20729828,0,5,0,0,0,0,0.219999999,70,-7,49,52.43389893,0.460000008,33.09999847,0.200000003,0.189005949,0.000956683,0,108.8147964,0,1,14.86348915,-0.529329121,19,5.68E-14,0,0,-7,0,0,0,4,0
5606,Solomon Islands,1984,0,0,0,24,0,0,0,50,0,10,23,0.883256972,0.0189457,61.29999924,109.8000031,0,0,50.20729828,0,5,0,0,0,0,0.219999999,70,-7,49,54.00477982,0.460000008,33.09999847,0.200000003,0.159438595,0.025420666,0,92.22070313,0,1,14.89300823,-0.481266856,19,1.42E-14,0,0,-7,0,0,0,4,0
